"","programyear","State.Abbreviation","sum"
"856",2022,"ID",375864
"857",2022,"IL",408153
"858",2022,"IN",1591166
"859",2022,"KS",2612693
"860",2022,"KY",314813
"861",2022,"LA",583773
"862",2022,"MA",800708
"863",2022,"MD",5199
"864",2022,"ME",38205
"865",2022,"MI",1009897
"866",2022,"MN",78867.43
"867",2022,"MO",5129829.61
"868",2022,"MS",987932.97
"869",2022,"MT",11873240.19
"870",2022,"NC",4251759
"871",2022,"ND",287639
"872",2022,"NE",3930873.64
"873",2022,"NH",91248
"874",2022,"NJ",1118912
"875",2022,"NM",16662487.65
"876",2022,"NV",1739886
"877",2022,"NY",1981108
"878",2022,"OH",1718126.29
"879",2022,"OK",62029400.39
"880",2022,"OR",4797438
"881",2022,"PA",831474
"882",2022,"PR",3644373.36
"883",2022,"RI",245235
"884",2022,"SC",3942226
"885",2022,"SD",20577422
"886",2022,"TN",349686
"887",2022,"TX",67104786.17
"888",2022,"UT",4642680.74
"889",2022,"VA",9119550.83
"890",2022,"VI",11150
"891",2022,"VT",323076
"892",2022,"WA",322588
"893",2022,"WI",212699.83
"894",2022,"WV",44769
"895",2022,"WY",2033549
"896",2023,"AL",420740
"897",2023,"AR",3241755
"898",2023,"AZ",60404
"899",2023,"CA",429448
"900",2023,"CO",2016395.57
"901",2023,"CT",650101
"902",2023,"DE",29181
"903",2023,"FL",4419036
"904",2023,"GA",1281094
"905",2023,"GU",78189
"906",2023,"HI",194350
"907",2023,"IA",224355
"908",2023,"ID",68527
"909",2023,"IL",62945
"910",2023,"IN",266310
"911",2023,"KS",399190
"912",2023,"KY",272551
"913",2023,"LA",119283
"914",2023,"MA",183241
"915",2023,"MD",2589
"916",2023,"ME",112884
"917",2023,"MI",938530
"918",2023,"MN",93929
"919",2023,"MO",34620
"920",2023,"MS",14665
"921",2023,"MT",501316
"922",2023,"NC",5384309
"923",2023,"ND",282587
"924",2023,"NE",351563
"925",2023,"NH",160615
"926",2023,"NJ",564777
"927",2023,"NM",8022598
"928",2023,"NV",120248
"929",2023,"NY",1473702
"930",2023,"OH",1147837
"931",2023,"OK",17474443.8
"932",2023,"OR",100275
"933",2023,"PA",124152
"934",2023,"RI",163559
"935",2023,"SC",401672
"936",2023,"SD",1316814
"937",2023,"TN",320617
"938",2023,"TX",5842932.21
"939",2023,"UT",8538
"940",2023,"VA",5672413.06
"941",2023,"VI",43231
"942",2023,"VT",458229
"943",2023,"WA",476555
"944",2023,"WI",7239
"945",2023,"WV",68092
"946",2023,"WY",127455
